"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
141617881,Photo,"Alectoris chukar",Chukar,,"A Kopitov",2/16/2019,2019,2,16,720,"United States",US-WA-047,Washington,Okanogan,"Fancher Flats",48.736,-119.3706,,Unknown,,Unspecified,,,,,,,,S52934912,,,,,"Feeding in paddock with cattle and food sources, ie hay.  Dozens of Chukar flying in to feed with snow on the Talus and butte.  Counted, probably more.",,,,"Alectoris chukar",chukar,Species,1214.0,,,4.0,1,committed,,"https://ebird.org/profile/MzM4Mzc1",2477,3715,"https://macaulaylibrary.org/asset/141617881","https://ebird.org/view/checklist/S52934912","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
141610461,Photo,"Alectoris chukar",Chukar,,"Shep Thorp",2/16/2019,2019,2,16,720,"United States",US-WA-047,Washington,Okanogan,"Fancher Flats",48.736,-119.3706,,Unknown,,Unspecified,,,,,,,,S52804338,,,,,"Feeding in paddock with cattle and food sources, ie hay.  Dozens of Chukar flying in to feed with snow on the Talus and butte.  Counted, probably more.",,,,"Alectoris chukar",chukar,Species,1214.0,,,5.0,1,committed,,"https://ebird.org/profile/MjIxNjc4",,,"https://macaulaylibrary.org/asset/141610461","https://ebird.org/view/checklist/S52804338","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
141516721,Photo,"Alectoris chukar",Chukar,,"Kalin Ocaña",2/17/2019,2019,2,17,1325,Canada,CA-BC-OS,"British Columbia",Okanagan-Similkameen,"Vaseux Cliffs",49.2998,-119.5278,,Unknown,,Unspecified,,,,,,,,S52879791,,,,,,,,,"Alectoris chukar",chukar,Species,1202.0,,,3.25,4,committed,,"https://ebird.org/profile/Nzc1NjY1",2788,4436,"https://macaulaylibrary.org/asset/141516721","https://ebird.org/view/checklist/S52879791","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
141239811,Photo,"Alectoris chukar",Chukar,,"Jon Houghton",2/15/2019,2019,2,15,930,"United States",US-WA-047,Washington,Okanogan,"Fancher Flats",48.736,-119.3706,,Unknown,,Unspecified,,,,,,,,S52804070,,,,,"Hanging with and under the cattle.",,,,"Alectoris chukar",chukar,Species,1214.0,,,3.0,1,committed,,"https://ebird.org/profile/NDQ1NDkx",3000,4000,"https://macaulaylibrary.org/asset/141239811","https://ebird.org/view/checklist/S52804070","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
141134341,Photo,"Alectoris chukar",Chukar,,"Chris Stanger",4/7/2015,2015,4,7,715,"United States",US-CO-077,Colorado,Mesa,"Cameo & Coal Canyon",39.155,-108.3274,,,,Unspecified,,,,,,,,S22967551,,,,,,,,,"Alectoris chukar",chukar,Species,1202.0,,,3.0,1,committed,,"https://ebird.org/profile/MjUwNDgz",1287,1930,"https://macaulaylibrary.org/asset/141134341","https://ebird.org/view/checklist/S22967551","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
140916861,Photo,"Alectoris chukar",Chukar,,"Gerlinde Taurer",12/31/2011,2011,12,31,0,Israel,IL-D,HaDarom,,"Sede Boker Fuel Station",30.8745,34.787,,,,Unspecified,,,,,,,,S11314497,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,5.0,1,committed,,,2547,3390,"https://macaulaylibrary.org/asset/140916861","https://ebird.org/view/checklist/S11314497","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
140916851,Photo,"Alectoris chukar",Chukar,,"Gerlinde Taurer",12/31/2011,2011,12,31,0,Israel,IL-D,HaDarom,,"Sede Boker Fuel Station",30.8745,34.787,,,,Unspecified,,,,,,,,S11314497,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,1.0,1,committed,,,2269,3404,"https://macaulaylibrary.org/asset/140916851","https://ebird.org/view/checklist/S11314497","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
140830541,Photo,"Alectoris chukar",Chukar,,"Kristie Nelson",11/25/2003,2003,11,25,0,Nepal,NP-3-MAN,Pashchimanchal,Manang,"Braga to Yak Kharka",28.7212,83.9745,,Unknown,,Unspecified,,,,,,,,S43485764,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,5.0,1,committed,,"https://ebird.org/profile/MTM5NzA5",1017,1500,"https://macaulaylibrary.org/asset/140830541","https://ebird.org/view/checklist/S43485764","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
140825501,Photo,"Alectoris chukar",Chukar,,"Susan Kirkbride",2/8/2019,2019,2,8,801,"United States",US-HI-001,Hawaii,Hawaii,"Saddle Road Chukar viewing",19.6965,-155.484,,Unknown,,Unspecified,,,,,,,,S52508225,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,5.0,1,committed,,"https://ebird.org/profile/MTExODAyMQ",3264,4896,"https://macaulaylibrary.org/asset/140825501","https://ebird.org/view/checklist/S52508225","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
140501981,Photo,"Alectoris chukar",Chukar,,"Blair Bernson",2/6/2019,2019,2,6,1014,"United States",US-HI-001,Hawaii,Hawaii,"Saddle Road, Waimea, Hawaii, US (19.698, -155.484)",19.6982,-155.4837,,Unknown,,Unspecified,,,,,,,,S52647005,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,3.0,1,committed,,"https://ebird.org/profile/MjkyMDk2",589,829,"https://macaulaylibrary.org/asset/140501981","https://ebird.org/view/checklist/S52647005","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
